"bird_name"	"Greater White-fronted Goose"	"Snow Goose"	"Ross's Goose"	"Cackling Goose"	"Canada Goose"	"Mute Swan"	"Trumpeter Swan"	"Tundra Swan"	"Wood Duck"	"Gadwall"	"American Wigeon"	"American Black Duck"	"Mallard"	"Blue-winged Teal"	"Northern Shoveler"	"Northern Pintail"	"Green-winged Teal"	"Green-winged Teal (American)"	"Canvasback"	"Redhead"	"Ring-necked Duck"	"Greater Scaup"	"Lesser Scaup"	"Harlequin Duck"	"Surf Scoter"	"White-winged Scoter"	"Black Scoter"	"Long-tailed Duck"	"Bufflehead"	"Common Goldeneye"	"Barrow's Goldeneye"	"Common/Barrow's Goldeneye"	"Hooded Merganser"	"Common Merganser"	"Red-breasted Merganser"	"Ruddy Duck"	"duck sp."	"Northern Bobwhite"	"Ring-necked Pheasant"	"Gray Partridge"	"Ruffed Grouse"	"Greater/Lesser Prairie-Chicken"	"Wild Turkey"	"Red-throated Loon"	"Common Loon"	"loon sp."	"Pied-billed Grebe"	"Horned Grebe"	"Red-necked Grebe"	"Western Grebe"	"Double-crested Cormorant"	"American Bittern"	"Great Blue Heron (Blue form)"	"Black-crowned Night-Heron"	"Northern Harrier"	"Sharp-shinned Hawk"	"Cooper's Hawk"	"Northern Goshawk"	"Northern Goshawk (American)"	"Accipiter sp."	"Bald Eagle"	"Red-shouldered Hawk"	"Broad-winged Hawk"	"Red-tailed Hawk"	"Rough-legged Hawk"	"Buteo sp."	"King Rail"	"Virginia Rail"	"Sora"	"American Coot"	"Sandhill Crane"	"Killdeer"	"Wilson's Snipe"	"Wilson's/Common Snipe"	"American Woodcock"	"Black-legged Kittiwake"	"Bonaparte's Gull"	"Ring-billed Gull"	"Herring Gull"	"Thayer's Gull"	"Iceland Gull"	"Lesser Black-backed Gull"	"Glaucous Gull"	"Great Black-backed Gull"	"gull sp."	"Rock Pigeon (Feral Pigeon)"	"Mourning Dove"	"Eastern Screech-Owl"	"screech-owl sp."	"Great Horned Owl"	"Snowy Owl"	"Barred Owl"	"Long-eared Owl"	"Short-eared Owl"	"Northern Saw-whet Owl"	"Belted Kingfisher"	"kingfisher sp."	"Red-headed Woodpecker"	"Red-bellied Woodpecker"	"Yellow-bellied Sapsucker"	"Downy Woodpecker"	"Hairy Woodpecker"	"Northern Flicker"	"Northern Flicker (Yellow-shafted)"	"Pileated Woodpecker"	"American Kestrel"	"Merlin"	"Peregrine Falcon"	"Eastern Phoebe"	"Northern Shrike"	"White-eyed Vireo"	"Blue Jay"	"American Crow"	"crow sp."	"Horned Lark"	"Horned Lark (Eastern dark Group)"	"Barn Swallow"	"Black-capped Chickadee"	"Boreal Chickadee"	"chickadee sp."	"Tufted Titmouse"	"Red-breasted Nuthatch"	"White-breasted Nuthatch"	"Brown Creeper"	"Winter Wren"	"Pacific/Winter Wren"	"Sedge Wren"	"Marsh Wren"	"Carolina Wren"	"Bewick's Wren"	"Golden-crowned Kinglet"	"Ruby-crowned Kinglet"	"Eastern Bluebird"	"bluebird sp."	"Townsend's Solitaire"	"Hermit Thrush"	"Wood Thrush"	"American Robin"	"Varied Thrush"	"Gray Catbird"	"Brown Thrasher"	"Sage Thrasher"	"Northern Mockingbird"	"European Starling"	"American Pipit"	"Bohemian Waxwing"	"Cedar Waxwing"	"Lapland Longspur"	"longspur sp."	"Snow Bunting"	"Ovenbird"	"Northern Waterthrush"	"Orange-crowned Warbler"	"Common Yellowthroat"	"yellowthroat sp."	"Pine Warbler"	"Yellow-rumped Warbler"	"Yellow-rumped Warbler (Myrtle)"	"American Tree Sparrow"	"Chipping Sparrow"	"Field Sparrow"	"Black-throated Sparrow"	"Fox Sparrow"	"Dark-eyed Junco"	"Dark-eyed Junco (Slate-colored/Cassiar)"	"Dark-eyed Junco (Slate-colored)"	"Dark-eyed Junco (Oregon)"	"White-crowned Sparrow"	"Harris's Sparrow"	"White-throated Sparrow"	"Vesper Sparrow"	"Savannah Sparrow"	"Song Sparrow"	"Lincoln's Sparrow"	"Swamp Sparrow"	"Spotted Towhee"	"Eastern Towhee"	"Spotted/Eastern Towhee (Rufous-sided Towhee)"	"sparrow sp."	"Northern Cardinal"	"Rose-breasted Grosbeak"	"Red-winged Blackbird"	"Western Meadowlark"	"Eastern Meadowlark"	"Western/Eastern Meadowlark"	"Rusty Blackbird"	"Brewer's Blackbird"	"Common Grackle"	"Common Grackle (Purple)"	"Brown-headed Cowbird"	"Baltimore Oriole"	"blackbird sp."	"Pine Grosbeak"	"House Finch"	"Purple Finch"	"Red Crossbill"	"White-winged Crossbill"	"Common Redpoll"	"Hoary Redpoll"	"redpoll sp."	"Pine Siskin"	"American Goldfinch"	"Spinus sp. (goldfinch sp.)"	"Evening Grosbeak"	"finch sp."	"House Sparrow"	"bird sp."
"Greater White-fronted Goose"	1.0	0.92013	0.95929	0.86565	-0.38335	0.86951	0.92875	0.06966	0.77787	-0.18779	0.66018	-0.20027	-0.65005	0.94945	0.048	0.78537	0.85865	0.94395	-0.03662	0.68024	0.62344	0.90616	0.00236	0.96405	0.9682	0.90978	0.95001	0.89403	0.14905	-0.36727	0.98216	0.96879	0.53144	-0.36365	0.73813	0.68415	0.54992	0.87146	-0.04942	0.93076	0.8634	0.97338	0.65513	0.96873	0.85348	0.96757	0.79853	0.89441	0.97288	0.97335	0.96413	0.97335	0.84711	0.97289	0.74228	0.70064	0.68246	0.84801	0.96849	0.9498	0.77492	0.88844	0.97334	0.18109	0.60315	0.97317	0.97329	0.88513	0.96857	-0.38605	0.7603	0.95459	0.94384	0.72451	0.96863	0.95943	0.97336	-0.27761	-0.41627	0.96341	0.94982	0.92553	0.90117	0.95947	0.80256	-0.31856	-0.48014	0.71817	0.82517	0.51896	0.8966	0.64007	0.72127	0.85348	0.89009	0.61835	0.94885	0.67071	0.19167	0.76117	-0.35235	0.07228	0.88362	0.79743	0.90503	0.60952	0.92987	0.94989	0.96407	0.67602	0.9641	-0.46368	-0.4798	0.73429	0.48508	0.9353	0.96408	-0.53567	0.96397	0.52264	0.55695	0.42849	-0.39675	0.23977	0.94826	0.83125	0.96868	0.95464	0.83115	0.97328	0.23437	0.91392	0.89933	0.9727	0.96411	0.81448	0.97335	-0.06098	0.95462	0.92076	0.84723	0.97333	0.94525	-0.67504	0.97726	0.95449	0.00428	0.11746	0.97335	0.56221	0.96867	0.97335	0.98241	0.94037	0.97299	0.98228	0.9452	0.95	-0.55875	0.96371	0.92014	0.97328	0.82507	-0.04012	0.97255	-0.48872	0.85019	0.86264	0.96872	0.52609	0.94959	0.96355	0.38034	0.94995	0.59141	0.95939	0.89581	0.93548	0.43017	-0.48356	0.97331	-0.28802	0.93791	0.92164	0.88998	0.42178	0.94857	0.45459	0.91169	0.39897	0.96409	0.88451	0.89972	-0.05536	0.21376	0.85014	0.8552	0.31296	0.96802	0.95501	0.03706	-0.42686	0.85839	0.83313	0.97338	-0.59468	0.93209
"Snow Goose"	0.92013	1.0	0.93513	0.8667	-0.24206	0.8566	0.90925	0.12479	0.78909	-0.06114	0.70016	-0.20202	-0.60414	0.9138	0.16348	0.81929	0.86595	0.91913	-0.02325	0.72352	0.6468	0.86569	0.02357	0.92141	0.93482	0.88865	0.91527	0.89076	0.24308	-0.30818	0.93184	0.92673	0.56095	-0.3043	0.76023	0.71201	0.53749	0.82924	-0.06143	0.89408	0.82853	0.93187	0.70202	0.93602	0.88243	0.92546	0.79925	0.91351	0.9298	0.93184	0.9215	0.93183	0.87344	0.92137	0.73851	0.71971	0.70569	0.84247	0.92641	0.91503	0.79844	0.84563	0.94102	0.23582	0.60074	0.93165	0.94102	0.89351	0.92649	-0.30393	0.82949	0.93921	0.89629	0.69698	0.92656	0.93492	0.94102	-0.1591	-0.28886	0.90995	0.9427	0.91593	0.89947	0.93492	0.83717	-0.22328	-0.4072	0.75815	0.77603	0.56115	0.88506	0.62517	0.6933	0.83782	0.87584	0.64988	0.90445	0.6751	0.26266	0.73318	-0.28121	0.12747	0.86145	0.80136	0.88299	0.64097	0.94996	0.9332	0.94008	0.69284	0.9308	-0.43702	-0.44373	0.68634	0.48034	0.89249	0.94005	-0.45897	0.92133	0.48317	0.59059	0.46695	-0.32915	0.27552	0.94007	0.81397	0.93591	0.92024	0.84491	0.93176	0.26118	0.87349	0.88783	0.93116	0.94008	0.81486	0.94109	0.01987	0.92027	0.93067	0.81917	0.93182	0.9003	-0.61113	0.92542	0.9107	0.07139	0.10307	0.94129	0.56202	0.93581	0.93183	0.93185	0.91399	0.93147	0.94106	0.91926	0.92458	-0.53474	0.9203	0.91071	0.93176	0.83823	0.00605	0.93101	-0.45685	0.80375	0.86779	0.93595	0.56204	0.90521	0.92939	0.42489	0.93401	0.62548	0.93504	0.91433	0.89886	0.39853	-0.41139	0.93179	-0.29601	0.90212	0.87514	0.85832	0.38605	0.92327	0.44549	0.86761	0.4143	0.94019	0.84344	0.8506	0.03668	0.22535	0.84657	0.83289	0.3237	0.92593	0.91169	0.09623	-0.36853	0.80923	0.80743	0.93187	-0.57608	0.89065
"Ross's Goose"	0.95929	0.93513	1.0	0.8806	-0.36492	0.89023	0.92382	0.00556	0.76275	-0.12542	0.68293	-0.19905	-0.64178	0.95433	0.04426	0.79269	0.85545	0.94893	-0.03862	0.68918	0.60435	0.90196	0.00492	0.96877	0.97293	0.91539	0.98207	0.87011	0.16361	-0.3739	0.97796	0.97346	0.53832	-0.36922	0.72287	0.67309	0.55928	0.8772	-0.04843	0.93588	0.86948	0.97799	0.63368	0.97339	0.87177	0.97225	0.79543	0.9001	0.95959	0.97796	0.97771	0.97795	0.84345	0.96873	0.71522	0.6981	0.67751	0.8544	0.97316	0.95471	0.76432	0.88462	0.97795	0.17471	0.5853	0.97778	0.9779	0.91975	0.97323	-0.34941	0.78443	0.96852	0.93991	0.74408	0.9733	0.96422	0.97797	-0.22156	-0.40565	0.95936	0.94551	0.94954	0.89708	0.97315	0.81695	-0.31474	-0.48216	0.71599	0.83175	0.51582	0.91168	0.62216	0.74073	0.85975	0.86603	0.61549	0.95377	0.66794	0.17274	0.74639	-0.37585	0.06502	0.86994	0.81538	0.90061	0.60734	0.91599	0.95478	0.97766	0.65992	0.96883	-0.46754	-0.47352	0.73956	0.4655	0.94005	0.96881	-0.55388	0.9687	0.52696	0.54809	0.42477	-0.40901	0.2288	0.9248	0.84843	0.97335	0.95949	0.83838	0.97788	0.23206	0.91951	0.89664	0.97731	0.96884	0.79996	0.97796	-0.05518	0.96846	0.92607	0.82297	0.97794	0.95022	-0.66647	0.96411	0.95933	-0.00295	0.11689	0.97795	0.54838	0.97333	0.97795	0.97797	0.94541	0.9776	0.97795	0.95924	0.95491	-0.55455	0.95952	0.91618	0.97788	0.83207	-0.03998	0.97716	-0.48456	0.86635	0.84812	0.97339	0.52724	0.95451	0.95927	0.38281	0.96387	0.58993	0.97321	0.90152	0.94058	0.43364	-0.50589	0.97792	-0.28359	0.94291	0.92678	0.88611	0.41083	0.96264	0.42991	0.91657	0.38775	0.97778	0.88906	0.90514	-0.05513	0.21228	0.86608	0.87051	0.31924	0.97269	0.95981	0.0312	-0.43393	0.8638	0.83935	0.97799	-0.59834	0.93668
"Cackling Goose"	0.86565	0.8667	0.8806	1.0	-0.0142	0.82533	0.92913	0.29577	0.68796	-0.08655	0.67336	-0.20297	-0.56736	0.84471	0.35929	0.76676	0.85779	0.82385	-0.01621	0.71089	0.66715	0.8485	0.02698	0.84749	0.86334	0.90525	0.86806	0.84889	0.37241	-0.24088	0.86796	0.85309	0.60854	-0.21602	0.6924	0.70839	0.49842	0.74097	-0.06625	0.80875	0.73787	0.85852	0.84594	0.86648	0.85412	0.85183	0.77028	0.84344	0.90336	0.85848	0.86302	0.85848	0.86777	0.857	0.68059	0.73252	0.72723	0.73096	0.85277	0.83063	0.8193	0.77883	0.85847	0.29789	0.5546	0.85829	0.85842	0.82218	0.85285	-0.13481	0.88434	0.8363	0.91011	0.55778	0.85292	0.85361	0.86848	-0.0845	-0.25876	0.89522	0.90613	0.89906	0.85149	0.88321	0.7379	-0.19432	-0.34529	0.75765	0.68206	0.55956	0.81642	0.66878	0.59829	0.75631	0.85677	0.65233	0.82966	0.57528	0.37173	0.76628	-0.18601	0.1857	0.92988	0.64804	0.91517	0.63719	0.87535	0.86209	0.87815	0.68842	0.85732	-0.41455	-0.42594	0.61713	0.47961	0.81956	0.85764	-0.32249	0.84741	0.42946	0.60934	0.46878	-0.23895	0.31073	0.93371	0.74504	0.85297	0.84656	0.86481	0.8584	0.2561	0.84683	0.91575	0.85781	0.88016	0.80975	0.85848	0.12436	0.84787	0.8681	0.69407	0.85847	0.83518	-0.55095	0.86322	0.83619	0.12803	0.0703	0.85848	0.48028	0.8624	0.85848	0.86859	0.81941	0.85811	0.85848	0.87001	0.83084	-0.52761	0.85959	0.82753	0.8584	0.84511	0.23627	0.85766	-0.54156	0.72459	0.83232	0.85302	0.5858	0.83041	0.86794	0.42924	0.87768	0.6268	0.85211	0.82125	0.81361	0.35502	-0.2767	0.85844	-0.28897	0.82794	0.79967	0.74962	0.34729	0.82936	0.44297	0.79456	0.41917	0.84753	0.77399	0.77382	0.17831	0.19113	0.79096	0.78742	0.27742	0.85229	0.83755	0.1847	-0.19919	0.73408	0.69599	0.85852	-0.54981	0.819
"Canada Goose"	-0.38335	-0.24206	-0.36492	-0.0142	1.0	-0.1735	-0.17814	0.73851	-0.21788	0.4231	-0.02412	0.0121	0.38348	-0.39753	0.68236	-0.18479	-0.11576	-0.39117	0.05695	-0.0253	0.04968	-0.32846	0.06331	-0.42068	-0.3966	-0.23801	-0.34831	-0.1989	0.50963	0.34455	-0.42453	-0.43126	0.15225	0.46031	-0.13747	0.06171	-0.24745	-0.46672	-0.03712	-0.44102	-0.44735	-0.4294	0.35126	-0.38988	-0.11663	-0.43123	-0.12938	-0.25141	-0.34649	-0.42513	-0.39808	-0.42887	-0.03049	-0.4286	-0.16567	0.04217	0.08249	-0.39164	-0.43172	-0.43068	0.07756	-0.38814	-0.42826	0.34193	-0.04936	-0.42941	-0.42826	-0.30786	-0.431	0.53958	0.10523	-0.41492	-0.2521	-0.44765	-0.43105	-0.41231	-0.41546	0.55301	0.5054	-0.32797	-0.27119	-0.20523	-0.23273	-0.37656	-0.33133	0.43399	0.50616	0.10081	-0.50029	0.09196	-0.34171	-0.00976	-0.42053	-0.3594	-0.21751	0.05812	-0.44125	-0.3332	0.5042	-0.065	0.56521	0.33974	-0.05759	-0.39122	-0.15408	0.04818	-0.19782	-0.32716	-0.36268	0.02001	-0.41116	0.22621	0.27765	-0.41849	0.01167	-0.42828	-0.41478	0.7122	-0.43405	-0.32775	0.08876	0.13151	0.51757	0.19642	-0.1801	-0.30923	-0.42368	-0.40731	-0.00817	-0.42941	0.07095	-0.29551	-0.09719	-0.42942	-0.34728	-0.05652	-0.4214	0.55765	-0.4231	-0.27772	-0.41306	-0.42881	-0.41019	0.44732	-0.39277	-0.43718	0.47725	-0.10905	-0.41784	-0.20961	-0.39194	-0.41739	-0.41015	-0.43764	-0.42896	-0.419	-0.35884	-0.41445	0.16302	-0.37815	-0.34931	-0.42941	-0.02797	0.68624	-0.42943	0.04675	-0.4714	-0.09446	-0.4043	0.13804	-0.43894	-0.37564	0.12868	-0.34419	0.06458	-0.40492	-0.26417	-0.44433	-0.26519	0.66956	-0.42941	0.02614	-0.4289	-0.44589	-0.42814	-0.23862	-0.42027	-0.01075	-0.43214	-0.04369	-0.41838	-0.40907	-0.45769	0.72062	-0.07331	-0.31617	-0.32939	-0.08567	-0.43174	-0.43625	0.27606	0.684	-0.4503	-0.4776	-0.42896	0.20048	-0.4209
"Mute Swan"	0.86951	0.8566	0.89023	0.82533	-0.1735	1.0	0.86737	0.10505	0.78595	0.05408	0.74481	-0.20822	-0.49465	0.86455	0.20327	0.68378	0.75775	0.88774	-0.04544	0.65558	0.65772	0.80727	0.01538	0.88147	0.85548	0.81284	0.89916	0.8079	0.24978	-0.34914	0.88353	0.86781	0.62687	-0.25158	0.7177	0.74463	0.47451	0.75764	-0.03973	0.84069	0.75346	0.87368	0.70653	0.88745	0.87189	0.86649	0.76723	0.82391	0.86979	0.88352	0.89433	0.87364	0.87049	0.87168	0.66249	0.77622	0.76741	0.82224	0.86748	0.86462	0.83922	0.80632	0.87363	0.3348	0.66584	0.87345	0.87358	0.8844	0.86756	-0.23046	0.71207	0.87009	0.88024	0.70011	0.86763	0.85584	0.87366	-0.04103	-0.23603	0.87961	0.85153	0.89832	0.83326	0.85587	0.6975	-0.08547	-0.23634	0.86113	0.68257	0.60025	0.81976	0.64241	0.68542	0.78483	0.82756	0.68715	0.84249	0.60746	0.33937	0.78443	-0.1561	0.20479	0.83061	0.80193	0.83933	0.6849	0.87422	0.87259	0.86179	0.73368	0.87171	-0.38731	-0.32926	0.62034	0.49714	0.83268	0.87162	-0.28317	0.86167	0.42911	0.57629	0.53516	-0.23709	0.34605	0.82342	0.86719	0.87754	0.86987	0.90201	0.87357	0.29271	0.84084	0.89197	0.87294	0.88231	0.82255	0.88345	0.18009	0.87121	0.83601	0.73757	0.87363	0.85793	-0.49757	0.88655	0.84954	0.19549	0.08359	0.88351	0.48731	0.86767	0.88358	0.87366	0.84147	0.87326	0.87364	0.86971	0.87402	-0.50487	0.87081	0.84611	0.87357	0.85867	0.0795	0.87278	-0.37977	0.74966	0.84033	0.88803	0.63039	0.85326	0.86027	0.47887	0.87713	0.67065	0.88597	0.8793	0.82509	0.35515	-0.24998	0.8736	-0.25784	0.82974	0.82055	0.79898	0.3527	0.86278	0.50498	0.80619	0.42383	0.87208	0.78611	0.78252	0.25776	0.25196	0.75201	0.77746	0.33231	0.86697	0.85114	0.14681	-0.18872	0.74124	0.70941	0.87368	-0.54363	0.83269
"Trumpeter Swan"	0.92875	0.90925	0.92382	0.92913	-0.17814	0.86737	1.0	0.22076	0.77221	-0.12606	0.67279	-0.20544	-0.5999	0.89253	0.21489	0.7922	0.8642	0.89653	-0.03228	0.73541	0.66687	0.89275	0.02215	0.91001	0.92427	0.9168	0.90373	0.87928	0.2864	-0.29043	0.93018	0.91547	0.58689	-0.26111	0.74379	0.72432	0.53612	0.81561	-0.07363	0.87212	0.80384	0.92076	0.77171	0.92471	0.87933	0.91419	0.80771	0.8799	0.93815	0.92072	0.91985	0.92072	0.88219	0.91951	0.70765	0.74054	0.72843	0.79538	0.91515	0.89361	0.81075	0.84203	0.92071	0.2527	0.59163	0.92053	0.92066	0.86997	0.91523	-0.27805	0.84626	0.89913	0.93535	0.66569	0.9153	0.90469	0.93004	-0.16194	-0.31409	0.91733	0.9413	0.93412	0.88705	0.93311	0.79131	-0.23885	-0.39072	0.7758	0.7493	0.56177	0.85229	0.67572	0.67412	0.81325	0.88486	0.65728	0.89261	0.6421	0.29715	0.76501	-0.25549	0.14749	0.91541	0.7393	0.92286	0.64674	0.9184	0.92198	0.93839	0.70038	0.91007	-0.44065	-0.44547	0.67374	0.48665	0.88106	0.91948	-0.41971	0.90993	0.47286	0.60164	0.48621	-0.30593	0.29209	0.93933	0.80991	0.91536	0.91818	0.87556	0.92064	0.25672	0.90158	0.92952	0.92004	0.92887	0.83537	0.92072	0.04862	0.89916	0.90926	0.77146	0.9207	0.89785	-0.60575	0.93395	0.89901	0.09086	0.08786	0.92072	0.52109	0.92471	0.93003	0.9301	0.8827	0.92035	0.93085	0.90752	0.90342	-0.54549	0.90878	0.88878	0.92064	0.8586	0.07979	0.91988	-0.49236	0.78893	0.8766	0.9154	0.58248	0.903	0.92834	0.42802	0.92283	0.63147	0.92359	0.88138	0.87706	0.39025	-0.37053	0.92068	-0.26691	0.89024	0.87251	0.82532	0.37236	0.89232	0.46675	0.85588	0.41789	0.91006	0.83249	0.8376	0.08412	0.20665	0.82163	0.84132	0.29148	0.91466	0.90012	0.1363	-0.31141	0.79625	0.76156	0.92076	-0.58365	0.87958
"Tundra Swan"	0.06966	0.12479	0.00556	0.29577	0.73851	0.10505	0.22076	1.0	0.17858	0.21201	0.16884	-0.0686	0.07979	-0.02746	0.59142	0.1414	0.2772	-0.03839	0.05358	0.28389	0.32786	0.04769	0.07241	-0.03823	0.01149	0.12742	0.02201	0.20634	0.55313	0.24761	-0.00784	-0.03802	0.34411	0.40072	0.17006	0.32181	-0.02295	-0.10644	-0.06315	-0.06139	-0.08365	-0.03396	0.57824	-0.01647	0.25185	-0.03853	0.21903	0.11438	0.06664	-0.0276	-0.01686	-0.03398	0.30078	-0.01583	0.12982	0.29369	0.3311	-0.03304	-0.03815	-0.02557	0.36613	-0.01844	-0.03007	0.38675	0.21208	-0.03406	-0.03007	0.0173	-0.03812	0.2231	0.395	-0.03347	0.14396	-0.17412	-0.0329	-0.01809	-0.01735	0.35496	0.35567	0.04704	0.14199	0.15819	0.15631	0.01525	0.01957	0.27182	0.29835	0.34977	-0.14415	0.29533	0.02078	0.26071	-0.1239	-0.00497	0.19685	0.30125	-0.05518	-0.02172	0.59752	0.26184	0.42324	0.36586	0.33703	-0.11424	0.22062	0.28759	0.1991	0.08778	0.03898	0.27849	-0.0213	0.05896	0.04146	-0.11886	0.25173	-0.04905	-0.01597	0.47827	-0.03823	-0.11449	0.31899	0.29393	0.37045	0.28859	0.21396	0.02206	-0.03404	-0.01718	0.28902	-0.03007	0.16058	0.10021	0.24929	-0.03425	0.04207	0.27453	-0.02996	0.50001	-0.02398	0.08966	-0.03402	-0.03398	-0.02131	0.15176	0.0321	-0.04659	0.48808	-0.05328	-0.0299	0.01648	0.01498	-0.02943	0.01205	-0.04066	-0.03413	-0.00432	0.038	-0.03145	-0.05776	0.00191	0.01139	-0.03007	0.3044	0.67624	-0.03431	-0.19183	-0.09152	0.25607	-0.01617	0.32775	-0.04563	0.02929	0.26274	0.04799	0.29077	-0.0215	0.07548	-0.05041	-0.08953	0.46433	-0.03399	-0.07392	-0.04479	-0.06848	-0.03783	-0.0585	-0.03548	0.19188	-0.06097	0.08413	-0.03426	-0.04965	-0.08742	0.63541	0.04573	0.04886	-0.00334	0.03517	-0.03835	-0.04788	0.25634	0.48121	-0.1003	-0.12347	-0.03396	-0.03529	-0.04198
"Wood Duck"	0.77787	0.78909	0.76275	0.68796	-0.21788	0.78595	0.77221	0.17858	1.0	0.14297	0.75313	-0.18327	-0.32297	0.76624	0.26173	0.74133	0.7191	0.78533	-0.05409	0.70093	0.66418	0.73216	0.02423	0.77074	0.76283	0.73274	0.75847	0.78607	0.29703	-0.1963	0.77495	0.76716	0.64063	-0.0795	0.77891	0.73832	0.41015	0.6744	8e-05	0.76507	0.75047	0.76385	0.58068	0.77827	0.80464	0.7546	0.69254	0.7675	0.76625	0.77495	0.77073	0.77496	0.77179	0.77057	0.68706	0.76191	0.67246	0.8512	0.75571	0.79288	0.75301	0.71272	0.77515	0.4347	0.72604	0.76358	0.77515	0.80898	0.77869	-0.21359	0.64542	0.7668	0.74951	0.71719	0.77854	0.76311	0.77575	-0.10833	-0.06962	0.75051	0.76641	0.78102	0.76868	0.76375	0.70919	0.09314	-0.0537	0.78123	0.66958	0.70606	0.7412	0.61844	0.71752	0.76885	0.75317	0.74397	0.73413	0.6782	0.42786	0.79855	0.00528	0.33019	0.75047	0.77343	0.756	0.72796	0.79274	0.77707	0.77082	0.74707	0.77067	-0.22967	-0.2182	0.49498	0.5859	0.7178	0.78282	-0.17489	0.74802	0.32359	0.68621	0.59788	-0.05823	0.4597	0.7529	0.78623	0.76715	0.77845	0.77702	0.76371	0.36687	0.75046	0.73513	0.763	0.75947	0.78994	0.77495	0.21867	0.78926	0.74156	0.75369	0.77493	0.77419	-0.32717	0.77404	0.75464	0.32179	0.08238	0.775	0.5604	0.76719	0.77496	0.77493	0.78916	0.76336	0.77501	0.76194	0.78173	-0.32261	0.7549	0.77659	0.76371	0.79537	0.02248	0.76282	-0.16739	0.73345	0.78597	0.77836	0.72866	0.75823	0.76742	0.59217	0.75864	0.70856	0.77494	0.78441	0.78191	0.27086	-0.1242	0.76375	-0.17988	0.73208	0.73055	0.76927	0.44133	0.7684	0.69032	0.68673	0.59599	0.77087	0.67562	0.68677	0.13275	0.45312	0.72183	0.67817	0.32679	0.75514	0.7351	0.30368	-0.09395	0.61576	0.67969	0.76385	-0.35118	0.72213
"Gadwall"	-0.18779	-0.06114	-0.12542	-0.08655	0.4231	0.05408	-0.12606	0.21201	0.14297	1.0	0.34275	0.01217	0.44821	-0.14782	0.55021	0.07441	0.0183	-0.12282	0.10388	0.25088	0.2151	-0.13372	0.13385	-0.16679	-0.18787	-0.14281	-0.10328	-0.02857	0.43255	0.2725	-0.19115	-0.19907	0.45142	0.39764	0.23098	0.31107	-0.17212	-0.20835	0.13925	-0.12972	-0.07067	-0.19821	0.13599	-0.16447	0.11694	-0.19336	0.07314	-0.00499	-0.16658	-0.18432	-0.16839	-0.1799	0.07045	-0.17931	0.08984	0.24097	0.22937	0.02303	-0.1917	-0.14312	0.16642	-0.16858	-0.17574	0.54002	0.33893	-0.19176	-0.17565	-0.02843	-0.17647	0.56863	0.04299	-0.0959	-0.12652	0.12366	-0.17521	-0.15406	-0.19031	0.73577	0.53226	-0.16469	-0.17481	-0.03673	-0.07044	-0.18627	-0.04727	0.66886	0.66663	0.26621	-0.14033	0.45181	-0.11784	0.10239	0.03424	-0.01711	-0.10674	0.36996	-0.23247	-0.01569	0.54289	0.09711	0.61138	0.53052	-0.05569	0.10887	-0.08362	0.37291	-0.05624	-0.11175	-0.18652	0.31533	-0.1683	0.33408	0.35711	-0.27363	0.29807	-0.18935	-0.1738	0.62785	-0.19316	-0.23816	0.35774	0.44867	0.54107	0.47905	-0.15312	0.0486	-0.17405	-0.16375	0.11208	-0.19225	0.32701	-0.04993	-0.04359	-0.19116	-0.17049	0.16804	-0.17335	0.62823	-0.15655	-0.14597	-0.05328	-0.188	-0.15882	0.48541	-0.17071	-0.18882	0.66341	0.01975	-0.18806	0.17599	-0.18401	-0.18544	-0.19082	-0.12692	-0.19253	-0.19098	-0.16002	-0.14517	0.31349	-0.16545	-0.12175	-0.19225	0.07377	0.38337	-0.19872	0.39343	-0.11736	-0.00099	-0.16057	0.45927	-0.17186	-0.17157	0.47529	-0.16762	0.35803	-0.12139	-0.10421	-0.12294	-0.19392	0.61555	-0.19249	0.11129	-0.20075	-0.21352	-0.10654	0.00799	-0.09443	0.43269	-0.19696	0.39201	-0.11781	-0.20813	-0.19662	0.47338	0.26358	-0.02416	-0.06831	0.17191	-0.19315	-0.21032	0.44901	0.61044	-0.26825	-0.10524	-0.19253	0.27187	-0.20662
